219.8699344,101.4144182
29.82069582,96.39750322
28.35358803,96.20099463
32.86935837,96.7220668
35.41231419,96.95889701
34.08128664,96.85715784
31.32502214,96.5641736
29.1486688,96.29749122
27.0523353,96.0132545
26.46125858,95.9027085
25.07812509,95.71848203
23.31303647,95.44827204
21.43443135,95.25353598
20.30554692,95.12370671
24.02739956,95.55705772
37.57308227,97.10798861
40.93391521,97.30266185
45.52877492,97.48850733
50.23924467,97.61467465
55.93647061,97.73026958
47.63720444,97.55335654
42.87997891,97.38506891
38.98645581,97.20972429
36.32765733,97.03081716
58.90697425,97.7757762
62.53740889,97.83003035
66.58050394,97.89128739
71.3661086,97.96304354
75.15937429,98.00325002
79.57279368,98.06273628
84.64684192,98.13623531
91.61810454,98.23422529
87.74086455,98.1817367
97.30904985,98.30243289
102.4614896,98.34609197
107.3273467,98.40204886
113.4667753,98.43689063
121.1314656,98.48570855
128.3011494,98.52752705
135.6352927,98.56758349
124.3448201,98.49961315
144.3718766,98.62688656
155.4127524,98.67556141
149.6450439,98.64947937
162.7466631,98.71386277
168.060073,98.72943348
174.4028077,98.74496059
183.1340414,98.76389668
194.1286267,98.77396138
216.5283643,98.78529791
223.7331731,98.78148243
227.5210887,98.78132193
233.079443,98.7810864
237.3184005,98.76686602
241.7236784,98.76492426
248.9287199,98.76286386
253.6640795,98.7661734
259.5913625,98.75363658
264.6135374,98.74640339
270.953946,98.74437963
279.0638629,98.73526051
287.2961357,98.71736073
292.7316689,98.72239569
297.7529133,98.70814216
302.6527323,98.70968964
311.8331471,98.70052516
318.4589753,98.67742815
326.4048981,98.67358127
333.3615059,98.66100083
343.9418025,98.65177703
352.2575844,98.64264919
359.7901489,98.62653415
368.4364779,98.62616778
378.0686325,98.60820867
386.6726254,98.59906862
392.5173297,98.58478019
401.9052378,98.58789259
382.2268724,98.60627738
374.1578958,98.61363967
364.2363671,98.62283555
