#  Printing Current voltage data (input statement at line 80)
#  Simulation date:
#    Mon Jul 10 14:27:19 2023
# Current voltage data
# Bias voltage [V] 	Current density [A/m^2] 
# Current 	 density
0.000000e+000	-1.939033e+002
1.429000e-002	-1.938546e+002
2.858000e-002	-1.938051e+002
4.287000e-002	-1.937548e+002
5.716000e-002	-1.937037e+002
7.145000e-002	-1.936517e+002
8.574000e-002	-1.935989e+002
1.000300e-001	-1.935453e+002
1.143200e-001	-1.934907e+002
1.286100e-001	-1.934353e+002
1.429000e-001	-1.933789e+002
1.571900e-001	-1.933215e+002
1.714800e-001	-1.932631e+002
1.857700e-001	-1.932038e+002
2.000600e-001	-1.931434e+002
2.143500e-001	-1.930819e+002
2.286400e-001	-1.930193e+002
2.429300e-001	-1.929556e+002
2.572200e-001	-1.928907e+002
2.715100e-001	-1.928246e+002
2.858000e-001	-1.927572e+002
3.000900e-001	-1.926886e+002
3.143800e-001	-1.926187e+002
3.286700e-001	-1.925474e+002
3.429600e-001	-1.924747e+002
3.572500e-001	-1.924005e+002
3.715400e-001	-1.923249e+002
3.858300e-001	-1.922476e+002
4.001200e-001	-1.921687e+002
4.144100e-001	-1.920881e+002
4.287000e-001	-1.920056e+002
4.429900e-001	-1.919213e+002
4.572800e-001	-1.918349e+002
4.715700e-001	-1.917464e+002
4.858600e-001	-1.916556e+002
5.001500e-001	-1.915622e+002
5.144400e-001	-1.914661e+002
5.287300e-001	-1.913670e+002
5.430200e-001	-1.912645e+002
5.573100e-001	-1.911583e+002
5.716000e-001	-1.910476e+002
5.858900e-001	-1.909321e+002
6.001800e-001	-1.908106e+002
6.144700e-001	-1.906823e+002
6.287600e-001	-1.905458e+002
6.430500e-001	-1.903993e+002
6.573400e-001	-1.902406e+002
6.716300e-001	-1.900667e+002
6.859200e-001	-1.898738e+002
7.002100e-001	-1.896569e+002
7.145000e-001	-1.894089e+002
7.287900e-001	-1.891208e+002
7.430800e-001	-1.887799e+002
7.573700e-001	-1.883689e+002
7.716600e-001	-1.878639e+002
7.859500e-001	-1.872313e+002
8.002400e-001	-1.864237e+002
8.145300e-001	-1.853735e+002
8.288200e-001	-1.839834e+002
8.431100e-001	-1.821127e+002
8.574000e-001	-1.795557e+002
8.716900e-001	-1.760105e+002
8.859800e-001	-1.710320e+002
9.002700e-001	-1.639609e+002
9.145600e-001	-1.538201e+002
9.288500e-001	-1.391638e+002
9.431400e-001	-1.178633e+002
9.574300e-001	-8.681707e+001
9.717200e-001	-4.158512e+001
9.860100e-001	2.401422e+001
1.000300e+000	1.182361e+002
1.014590e+000	2.514857e+002
1.028880e+000	4.357369e+002
1.043170e+000	6.834248e+002
1.057460e+000	1.005673e+003
1.071750e+000	1.410988e+003
1.086040e+000	1.903700e+003
1.100330e+000	2.486071e+003
1.114620e+000	3.615576e+003
1.128910e+000	4.368976e+003
1.143200e+000	5.225815e+003
1.157490e+000	2.422087e+005
1.171780e+000	2.424331e+005
1.186070e+000	2.426592e+005
1.200360e+000	2.428870e+005
1.214650e+000	2.431166e+005
1.228940e+000	2.433479e+005
1.243230e+000	2.435809e+005
1.257520e+000	2.438158e+005
1.271810e+000	2.440524e+005
1.286100e+000	2.442909e+005
1.300390e+000	2.445312e+005
1.314680e+000	2.447733e+005
1.328970e+000	2.450173e+005
1.343260e+000	2.452631e+005
1.357550e+000	2.455109e+005
1.371840e+000	2.457605e+005
1.386130e+000	2.460120e+005
1.400420e+000	2.462654e+005
1.414710e+000	2.465208e+005
1.429000e+000	2.467781e+005

