#  Printing Current voltage data (input statement at line 80)
#  Simulation date:
#    Mon Jul 10 14:26:05 2023
# Current voltage data
# Bias voltage [V] 	Current density [A/m^2] 
# Current 	 density
0.000000e+000	-1.938830e+002
1.430000e-002	-1.938349e+002
2.860000e-002	-1.937861e+002
4.290000e-002	-1.937365e+002
5.720000e-002	-1.936862e+002
7.150000e-002	-1.936351e+002
8.580000e-002	-1.935831e+002
1.001000e-001	-1.935304e+002
1.144000e-001	-1.934768e+002
1.287000e-001	-1.934224e+002
1.430000e-001	-1.933671e+002
1.573000e-001	-1.933109e+002
1.716000e-001	-1.932537e+002
1.859000e-001	-1.931956e+002
2.002000e-001	-1.931366e+002
2.145000e-001	-1.930766e+002
2.288000e-001	-1.930155e+002
2.431000e-001	-1.929534e+002
2.574000e-001	-1.928903e+002
2.717000e-001	-1.928260e+002
2.860000e-001	-1.927606e+002
3.003000e-001	-1.926941e+002
3.146000e-001	-1.926263e+002
3.289000e-001	-1.925574e+002
3.432000e-001	-1.924872e+002
3.575000e-001	-1.924157e+002
3.718000e-001	-1.923428e+002
3.861000e-001	-1.922686e+002
4.004000e-001	-1.921929e+002
4.147000e-001	-1.921158e+002
4.290000e-001	-1.920371e+002
4.433000e-001	-1.919569e+002
4.576000e-001	-1.918751e+002
4.719000e-001	-1.917916e+002
4.862000e-001	-1.917064e+002
5.005000e-001	-1.916193e+002
5.148000e-001	-1.915304e+002
5.291000e-001	-1.914396e+002
5.434000e-001	-1.913467e+002
5.577000e-001	-1.912516e+002
5.720000e-001	-1.911544e+002
5.863000e-001	-1.910548e+002
6.006000e-001	-1.909528e+002
6.149000e-001	-1.908481e+002
6.292000e-001	-1.907407e+002
6.435000e-001	-1.906302e+002
6.578000e-001	-1.905165e+002
6.721000e-001	-1.903992e+002
6.864000e-001	-1.902779e+002
7.007000e-001	-1.901521e+002
7.150000e-001	-1.900211e+002
7.293000e-001	-1.898841e+002
7.436000e-001	-1.897402e+002
7.579000e-001	-1.895878e+002
7.722000e-001	-1.894251e+002
7.865000e-001	-1.892497e+002
8.008000e-001	-1.890582e+002
8.151000e-001	-1.888462e+002
8.294000e-001	-1.886073e+002
8.437000e-001	-1.883328e+002
8.580000e-001	-1.880102e+002
8.723000e-001	-1.876219e+002
8.866000e-001	-1.871421e+002
9.009000e-001	-1.865327e+002
9.152000e-001	-1.857374e+002
9.295000e-001	-1.846709e+002
9.438000e-001	-1.832036e+002
9.581000e-001	-1.811351e+002
9.724000e-001	-1.781542e+002
9.867000e-001	-1.737728e+002
1.001000e+000	-1.672218e+002
1.015300e+000	-1.572856e+002
1.029600e+000	-1.420456e+002
1.043900e+000	-1.184942e+002
1.058200e+000	-8.198510e+001
1.072500e+000	-2.553043e+001
1.086800e+000	6.092587e+001
1.101100e+000	1.908962e+002
1.115400e+000	3.808299e+002
1.129700e+000	6.479148e+002
1.144000e+000	1.007093e+003
1.158300e+000	1.468827e+003
1.172600e+000	2.036312e+003
1.186900e+000	2.711188e+003
1.201200e+000	4.923351e+003
1.215500e+000	6.077636e+003
1.229800e+000	1.510389e+006
1.244100e+000	6.340462e+006
1.258400e+000	6.340471e+006
1.272700e+000	6.340479e+006
1.287000e+000	6.340488e+006
1.301300e+000	6.340497e+006
1.315600e+000	6.340507e+006
1.329900e+000	6.340516e+006
1.344200e+000	6.340525e+006
1.358500e+000	6.340535e+006
1.372800e+000	6.340545e+006
1.387100e+000	6.340555e+006
1.401400e+000	6.340565e+006
1.415700e+000	6.340575e+006
1.430000e+000	6.340586e+006

