#  Printing Current voltage data (input statement at line 80)
#  Simulation date:
#    Mon Jul 10 14:27:54 2023
# Current voltage data
# Bias voltage [V] 	Current density [A/m^2] 
# Current 	 density
0.000000e+000	-2.907509e+001
1.430000e-002	-2.906786e+001
2.860000e-002	-2.906052e+001
4.290000e-002	-2.905307e+001
5.720000e-002	-2.904551e+001
7.150000e-002	-2.903783e+001
8.580000e-002	-2.903003e+001
1.001000e-001	-2.902211e+001
1.144000e-001	-2.901406e+001
1.287000e-001	-2.900589e+001
1.430000e-001	-2.899759e+001
1.573000e-001	-2.898915e+001
1.716000e-001	-2.898058e+001
1.859000e-001	-2.897187e+001
2.002000e-001	-2.896302e+001
2.145000e-001	-2.895402e+001
2.288000e-001	-2.894487e+001
2.431000e-001	-2.893557e+001
2.574000e-001	-2.892611e+001
2.717000e-001	-2.891649e+001
2.860000e-001	-2.890671e+001
3.003000e-001	-2.889675e+001
3.146000e-001	-2.888663e+001
3.289000e-001	-2.887632e+001
3.432000e-001	-2.886583e+001
3.575000e-001	-2.885515e+001
3.718000e-001	-2.884427e+001
3.861000e-001	-2.883319e+001
4.004000e-001	-2.882191e+001
4.147000e-001	-2.881042e+001
4.290000e-001	-2.879870e+001
4.433000e-001	-2.878676e+001
4.576000e-001	-2.877458e+001
4.719000e-001	-2.876217e+001
4.862000e-001	-2.874950e+001
5.005000e-001	-2.873657e+001
5.148000e-001	-2.872337e+001
5.291000e-001	-2.870989e+001
5.434000e-001	-2.869612e+001
5.577000e-001	-2.868204e+001
5.720000e-001	-2.866763e+001
5.863000e-001	-2.865288e+001
6.006000e-001	-2.863777e+001
6.149000e-001	-2.862225e+001
6.292000e-001	-2.860630e+001
6.435000e-001	-2.858987e+001
6.578000e-001	-2.857291e+001
6.721000e-001	-2.855532e+001
6.864000e-001	-2.853703e+001
7.007000e-001	-2.851790e+001
7.150000e-001	-2.849777e+001
7.293000e-001	-2.847641e+001
7.436000e-001	-2.845355e+001
7.579000e-001	-2.842878e+001
7.722000e-001	-2.840159e+001
7.865000e-001	-2.837126e+001
8.008000e-001	-2.833684e+001
8.151000e-001	-2.829699e+001
8.294000e-001	-2.824986e+001
8.437000e-001	-2.819290e+001
8.580000e-001	-2.812248e+001
8.723000e-001	-2.803348e+001
8.866000e-001	-2.791854e+001
9.009000e-001	-2.776697e+001
9.152000e-001	-2.756306e+001
9.295000e-001	-2.728346e+001
9.438000e-001	-2.689290e+001
9.581000e-001	-2.633749e+001
9.724000e-001	-2.553371e+001
9.867000e-001	-2.435049e+001
1.001000e+000	-2.257969e+001
1.015300e+000	-1.988733e+001
1.029600e+000	-1.573292e+001
1.043900e+000	-9.236433e+000
1.058200e+000	1.038841e+000
1.072500e+000	1.743386e+001
1.086800e+000	4.372899e+001
1.101100e+000	8.591188e+001
1.115400e+000	1.531376e+002
1.129700e+000	2.586059e+002
1.144000e+000	4.196773e+002
1.158300e+000	6.563353e+002
1.172600e+000	9.873141e+002
1.186900e+000	1.426648e+003
1.201200e+000	1.980365e+003
1.215500e+000	2.649736e+003
1.229800e+000	4.442783e+003
1.244100e+000	4.575697e+003
1.258400e+000	4.764275e+007
1.272700e+000	6.425766e+007
1.287000e+000	6.427503e+007
1.301300e+000	6.427505e+007
1.315600e+000	6.427505e+007
1.329900e+000	6.427505e+007
1.344200e+000	6.427505e+007
1.358500e+000	6.427505e+007
1.372800e+000	6.427505e+007
1.387100e+000	6.427505e+007
1.401400e+000	6.427505e+007
1.415700e+000	6.427505e+007
1.430000e+000	6.427505e+007

