#  Printing Current voltage data (input statement at line 80)
#  Simulation date:
#    Mon Jul 10 14:25:08 2023
# Current voltage data
# Bias voltage [V] 	Current density [A/m^2] 
# Current 	 density
0.000000e+000	-1.938248e+002
1.430000e-002	-1.937767e+002
2.860000e-002	-1.937279e+002
4.290000e-002	-1.936784e+002
5.720000e-002	-1.936281e+002
7.150000e-002	-1.935771e+002
8.580000e-002	-1.935253e+002
1.001000e-001	-1.934727e+002
1.144000e-001	-1.934193e+002
1.287000e-001	-1.933650e+002
1.430000e-001	-1.933099e+002
1.573000e-001	-1.932540e+002
1.716000e-001	-1.931971e+002
1.859000e-001	-1.931394e+002
2.002000e-001	-1.930807e+002
2.145000e-001	-1.930211e+002
2.288000e-001	-1.929605e+002
2.431000e-001	-1.928989e+002
2.574000e-001	-1.928363e+002
2.717000e-001	-1.927727e+002
2.860000e-001	-1.927080e+002
3.003000e-001	-1.926422e+002
3.146000e-001	-1.925752e+002
3.289000e-001	-1.925071e+002
3.432000e-001	-1.924379e+002
3.575000e-001	-1.923674e+002
3.718000e-001	-1.922956e+002
3.861000e-001	-1.922226e+002
4.004000e-001	-1.921482e+002
4.147000e-001	-1.920725e+002
4.290000e-001	-1.919954e+002
4.433000e-001	-1.919169e+002
4.576000e-001	-1.918368e+002
4.719000e-001	-1.917552e+002
4.862000e-001	-1.916721e+002
5.005000e-001	-1.915873e+002
5.148000e-001	-1.915008e+002
5.291000e-001	-1.914125e+002
5.434000e-001	-1.913225e+002
5.577000e-001	-1.912305e+002
5.720000e-001	-1.911366e+002
5.863000e-001	-1.910407e+002
6.006000e-001	-1.909427e+002
6.149000e-001	-1.908426e+002
6.292000e-001	-1.907401e+002
6.435000e-001	-1.906353e+002
6.578000e-001	-1.905280e+002
6.721000e-001	-1.904181e+002
6.864000e-001	-1.903055e+002
7.007000e-001	-1.901901e+002
7.150000e-001	-1.900717e+002
7.293000e-001	-1.899501e+002
7.436000e-001	-1.898251e+002
7.579000e-001	-1.896965e+002
7.722000e-001	-1.895640e+002
7.865000e-001	-1.894272e+002
8.008000e-001	-1.892856e+002
8.151000e-001	-1.891387e+002
8.294000e-001	-1.889856e+002
8.437000e-001	-1.888253e+002
8.580000e-001	-1.886566e+002
8.723000e-001	-1.884775e+002
8.866000e-001	-1.882855e+002
9.009000e-001	-1.880772e+002
9.152000e-001	-1.878476e+002
9.295000e-001	-1.875895e+002
9.438000e-001	-1.872927e+002
9.581000e-001	-1.869417e+002
9.724000e-001	-1.865133e+002
9.867000e-001	-1.859719e+002
1.001000e+000	-1.852616e+002
1.015300e+000	-1.842939e+002
1.029600e+000	-1.829258e+002
1.043900e+000	-1.809228e+002
1.058200e+000	-1.778962e+002
1.072500e+000	-1.731946e+002
1.086800e+000	-1.657192e+002
1.101100e+000	-1.536113e+002
1.115400e+000	-1.337394e+002
1.129700e+000	-1.008979e+002
1.144000e+000	-4.667428e+001
1.158300e+000	4.184652e+001
1.172600e+000	1.828699e+002
1.186900e+000	3.989253e+002
1.201200e+000	7.127075e+002
1.215500e+000	1.142006e+003
1.229800e+000	1.695528e+003
1.244100e+000	2.374796e+003
1.258400e+000	3.919905e+003
1.272700e+000	4.885253e+003
1.287000e+000	-4.613774e+006
1.301300e+000	-4.612629e+006
1.315600e+000	-4.612126e+006
1.329900e+000	-4.611620e+006
1.344200e+000	-4.611111e+006
1.358500e+000	-4.610597e+006
1.372800e+000	-4.610081e+006
1.387100e+000	-4.609560e+006
1.401400e+000	-4.609037e+006
1.415700e+000	-4.608510e+006
1.430000e+000	-4.607980e+006

