#  Printing Current voltage data (input statement at line 80)
#  Simulation date:
#    Mon Jul 10 14:26:18 2023
# Current voltage data
# Bias voltage [V] 	Current density [A/m^2] 
# Current 	 density
0.000000e+000	-1.938913e+002
1.430000e-002	-1.938431e+002
2.860000e-002	-1.937942e+002
4.290000e-002	-1.937445e+002
5.720000e-002	-1.936941e+002
7.150000e-002	-1.936429e+002
8.580000e-002	-1.935909e+002
1.001000e-001	-1.935380e+002
1.144000e-001	-1.934843e+002
1.287000e-001	-1.934297e+002
1.430000e-001	-1.933742e+002
1.573000e-001	-1.933179e+002
1.716000e-001	-1.932606e+002
1.859000e-001	-1.932023e+002
2.002000e-001	-1.931430e+002
2.145000e-001	-1.930828e+002
2.288000e-001	-1.930215e+002
2.431000e-001	-1.929592e+002
2.574000e-001	-1.928958e+002
2.717000e-001	-1.928312e+002
2.860000e-001	-1.927656e+002
3.003000e-001	-1.926987e+002
3.146000e-001	-1.926306e+002
3.289000e-001	-1.925613e+002
3.432000e-001	-1.924907e+002
3.575000e-001	-1.924188e+002
3.718000e-001	-1.923455e+002
3.861000e-001	-1.922708e+002
4.004000e-001	-1.921946e+002
4.147000e-001	-1.921170e+002
4.290000e-001	-1.920378e+002
4.433000e-001	-1.919569e+002
4.576000e-001	-1.918745e+002
4.719000e-001	-1.917903e+002
4.862000e-001	-1.917043e+002
5.005000e-001	-1.916164e+002
5.148000e-001	-1.915266e+002
5.291000e-001	-1.914348e+002
5.434000e-001	-1.913408e+002
5.577000e-001	-1.912447e+002
5.720000e-001	-1.911461e+002
5.863000e-001	-1.910451e+002
6.006000e-001	-1.909413e+002
6.149000e-001	-1.908347e+002
6.292000e-001	-1.907249e+002
6.435000e-001	-1.906117e+002
6.578000e-001	-1.904946e+002
6.721000e-001	-1.903732e+002
6.864000e-001	-1.902468e+002
7.007000e-001	-1.901147e+002
7.150000e-001	-1.899758e+002
7.293000e-001	-1.898289e+002
7.436000e-001	-1.896722e+002
7.579000e-001	-1.895034e+002
7.722000e-001	-1.893195e+002
7.865000e-001	-1.891163e+002
8.008000e-001	-1.888883e+002
8.151000e-001	-1.886276e+002
8.294000e-001	-1.883233e+002
8.437000e-001	-1.879602e+002
8.580000e-001	-1.875162e+002
8.723000e-001	-1.869595e+002
8.866000e-001	-1.862435e+002
9.009000e-001	-1.852991e+002
9.152000e-001	-1.840227e+002
9.295000e-001	-1.822577e+002
9.438000e-001	-1.797642e+002
9.581000e-001	-1.761731e+002
9.724000e-001	-1.709121e+002
9.867000e-001	-1.630907e+002
1.001000e+000	-1.513214e+002
1.015300e+000	-1.334497e+002
1.029600e+000	-1.061597e+002
1.043900e+000	-6.443673e+001
1.058200e+000	-9.210601e-001
1.072500e+000	9.468420e+001
1.086800e+000	2.358077e+002
1.101100e+000	4.381211e+002
1.115400e+000	7.175642e+002
1.129700e+000	1.087608e+003
1.144000e+000	1.556587e+003
1.158300e+000	2.128882e+003
1.172600e+000	2.804341e+003
1.186900e+000	5.210645e+003
1.201200e+000	1.645471e+004
1.215500e+000	-4.177295e+006
1.229800e+000	-4.176706e+006
1.244100e+000	-4.176780e+006
1.258400e+000	-4.177425e+006
1.272700e+000	-4.177299e+006
1.287000e+000	-4.176946e+006
1.301300e+000	-4.177188e+006
1.315600e+000	-4.176829e+006
1.329900e+000	-4.177528e+006
1.344200e+000	-4.177591e+006
1.358500e+000	-4.176653e+006
1.372800e+000	-4.177121e+006
1.387100e+000	-4.177470e+006
1.401400e+000	-4.177295e+006
1.415700e+000	-4.177080e+006
1.430000e+000	-4.177103e+006

