#  Printing Current voltage data (input statement at line 80)
#  Simulation date:
#    Mon Jul 10 14:25:19 2023
# Current voltage data
# Bias voltage [V] 	Current density [A/m^2] 
# Current 	 density
0.000000e+000	-1.938434e+002
1.430000e-002	-1.937954e+002
2.860000e-002	-1.937466e+002
4.290000e-002	-1.936971e+002
5.720000e-002	-1.936469e+002
7.150000e-002	-1.935959e+002
8.580000e-002	-1.935441e+002
1.001000e-001	-1.934915e+002
1.144000e-001	-1.934381e+002
1.287000e-001	-1.933839e+002
1.430000e-001	-1.933288e+002
1.573000e-001	-1.932729e+002
1.716000e-001	-1.932160e+002
1.859000e-001	-1.931583e+002
2.002000e-001	-1.930996e+002
2.145000e-001	-1.930399e+002
2.288000e-001	-1.929793e+002
2.431000e-001	-1.929176e+002
2.574000e-001	-1.928550e+002
2.717000e-001	-1.927912e+002
2.860000e-001	-1.927264e+002
3.003000e-001	-1.926605e+002
3.146000e-001	-1.925935e+002
3.289000e-001	-1.925253e+002
3.432000e-001	-1.924558e+002
3.575000e-001	-1.923852e+002
3.718000e-001	-1.923132e+002
3.861000e-001	-1.922400e+002
4.004000e-001	-1.921654e+002
4.147000e-001	-1.920895e+002
4.290000e-001	-1.920121e+002
4.433000e-001	-1.919332e+002
4.576000e-001	-1.918529e+002
4.719000e-001	-1.917709e+002
4.862000e-001	-1.916874e+002
5.005000e-001	-1.916021e+002
5.148000e-001	-1.915152e+002
5.291000e-001	-1.914264e+002
5.434000e-001	-1.913358e+002
5.577000e-001	-1.912433e+002
5.720000e-001	-1.911488e+002
5.863000e-001	-1.910522e+002
6.006000e-001	-1.909534e+002
6.149000e-001	-1.908524e+002
6.292000e-001	-1.907491e+002
6.435000e-001	-1.906433e+002
6.578000e-001	-1.905349e+002
6.721000e-001	-1.904238e+002
6.864000e-001	-1.903099e+002
7.007000e-001	-1.901930e+002
7.150000e-001	-1.900728e+002
7.293000e-001	-1.899493e+002
7.436000e-001	-1.898219e+002
7.579000e-001	-1.896905e+002
7.722000e-001	-1.895546e+002
7.865000e-001	-1.894135e+002
8.008000e-001	-1.892666e+002
8.151000e-001	-1.891129e+002
8.294000e-001	-1.889511e+002
8.437000e-001	-1.887795e+002
8.580000e-001	-1.885958e+002
8.723000e-001	-1.883969e+002
8.866000e-001	-1.881782e+002
9.009000e-001	-1.879336e+002
9.152000e-001	-1.876539e+002
9.295000e-001	-1.873261e+002
9.438000e-001	-1.869307e+002
9.581000e-001	-1.864382e+002
9.724000e-001	-1.858038e+002
9.867000e-001	-1.849576e+002
1.001000e+000	-1.837892e+002
1.015300e+000	-1.821224e+002
1.029600e+000	-1.796711e+002
1.043900e+000	-1.759671e+002
1.058200e+000	-1.702373e+002
1.072500e+000	-1.611993e+002
1.086800e+000	-1.467259e+002
1.101100e+000	-1.233114e+002
1.115400e+000	-8.527449e+001
1.129700e+000	-2.370165e+001
1.144000e+000	7.463166e+001
1.158300e+000	2.276962e+002
1.172600e+000	4.566648e+002
1.186900e+000	7.821803e+002
1.201200e+000	1.219793e+003
1.215500e+000	1.776772e+003
1.229800e+000	2.454235e+003
1.244100e+000	4.147883e+003
1.258400e+000	4.462508e+003
1.272700e+000	-5.647079e+006
1.287000e+000	-5.646502e+006
1.301300e+000	-5.646361e+006
1.315600e+000	-5.646224e+006
1.329900e+000	-5.646090e+006
1.344200e+000	-5.645960e+006
1.358500e+000	-5.645832e+006
1.372800e+000	-5.645708e+006
1.387100e+000	-5.645586e+006
1.401400e+000	-5.645466e+006
1.415700e+000	-5.645348e+006
1.430000e+000	-5.645233e+006

