#  Printing Current voltage data (input statement at line 80)
#  Simulation date:
#    Mon Jul 10 14:27:42 2023
# Current voltage data
# Bias voltage [V] 	Current density [A/m^2] 
# Current 	 density
0.000000e+000	-1.938317e+001
1.430000e-002	-1.937834e+001
2.860000e-002	-1.937345e+001
4.290000e-002	-1.936848e+001
5.720000e-002	-1.936343e+001
7.150000e-002	-1.935831e+001
8.580000e-002	-1.935311e+001
1.001000e-001	-1.934783e+001
1.144000e-001	-1.934246e+001
1.287000e-001	-1.933701e+001
1.430000e-001	-1.933147e+001
1.573000e-001	-1.932584e+001
1.716000e-001	-1.932013e+001
1.859000e-001	-1.931432e+001
2.002000e-001	-1.930841e+001
2.145000e-001	-1.930241e+001
2.288000e-001	-1.929631e+001
2.431000e-001	-1.929011e+001
2.574000e-001	-1.928380e+001
2.717000e-001	-1.927738e+001
2.860000e-001	-1.927085e+001
3.003000e-001	-1.926421e+001
3.146000e-001	-1.925746e+001
3.289000e-001	-1.925058e+001
3.432000e-001	-1.924358e+001
3.575000e-001	-1.923646e+001
3.718000e-001	-1.922920e+001
3.861000e-001	-1.922182e+001
4.004000e-001	-1.921429e+001
4.147000e-001	-1.920662e+001
4.290000e-001	-1.919881e+001
4.433000e-001	-1.919084e+001
4.576000e-001	-1.918272e+001
4.719000e-001	-1.917443e+001
4.862000e-001	-1.916598e+001
5.005000e-001	-1.915735e+001
5.148000e-001	-1.914854e+001
5.291000e-001	-1.913954e+001
5.434000e-001	-1.913034e+001
5.577000e-001	-1.912094e+001
5.720000e-001	-1.911130e+001
5.863000e-001	-1.910143e+001
6.006000e-001	-1.909129e+001
6.149000e-001	-1.908087e+001
6.292000e-001	-1.907013e+001
6.435000e-001	-1.905903e+001
6.578000e-001	-1.904751e+001
6.721000e-001	-1.903550e+001
6.864000e-001	-1.902293e+001
7.007000e-001	-1.900965e+001
7.150000e-001	-1.899552e+001
7.293000e-001	-1.898033e+001
7.436000e-001	-1.896380e+001
7.579000e-001	-1.894554e+001
7.722000e-001	-1.892505e+001
7.865000e-001	-1.890163e+001
8.008000e-001	-1.887432e+001
8.151000e-001	-1.884181e+001
8.294000e-001	-1.880227e+001
8.437000e-001	-1.875316e+001
8.580000e-001	-1.869089e+001
8.723000e-001	-1.861035e+001
8.866000e-001	-1.850421e+001
9.009000e-001	-1.836183e+001
9.152000e-001	-1.816756e+001
9.295000e-001	-1.789809e+001
9.438000e-001	-1.751826e+001
9.581000e-001	-1.697431e+001
9.724000e-001	-1.618290e+001
9.867000e-001	-1.501324e+001
1.001000e+000	-1.325760e+001
1.015300e+000	-1.058264e+001
1.029600e+000	-6.448898e+000
1.043900e+000	2.203535e-002
1.058200e+000	1.026432e+001
1.072500e+000	2.661489e+001
1.086800e+000	5.284796e+001
1.101100e+000	9.494220e+001
1.115400e+000	1.620408e+002
1.129700e+000	2.673299e+002
1.144000e+000	4.281599e+002
1.158300e+000	6.645137e+002
1.172600e+000	9.951393e+002
1.186900e+000	1.434093e+003
1.201200e+000	1.987428e+003
1.215500e+000	2.656429e+003
1.229800e+000	4.445800e+003
1.244100e+000	4.191930e+003
1.258400e+000	-4.582500e-001
1.272700e+000	5.469651e+006
1.287000e+000	5.469664e+006
1.301300e+000	5.469673e+006
1.315600e+000	5.469682e+006
1.329900e+000	5.469691e+006
1.344200e+000	5.469700e+006
1.358500e+000	5.469709e+006
1.372800e+000	5.469719e+006
1.387100e+000	5.469729e+006
1.401400e+000	5.469739e+006
1.415700e+000	5.469749e+006
1.430000e+000	5.469759e+006

