#  Printing Current voltage data (input statement at line 80)
#  Simulation date:
#    Mon Jul 10 14:26:43 2023
# Current voltage data
# Bias voltage [V] 	Current density [A/m^2] 
# Current 	 density
0.000000e+000	-1.939013e+002
1.430000e-002	-1.938529e+002
2.860000e-002	-1.938037e+002
4.290000e-002	-1.937538e+002
5.720000e-002	-1.937031e+002
7.150000e-002	-1.936516e+002
8.580000e-002	-1.935992e+002
1.001000e-001	-1.935460e+002
1.144000e-001	-1.934919e+002
1.287000e-001	-1.934369e+002
1.430000e-001	-1.933810e+002
1.573000e-001	-1.933242e+002
1.716000e-001	-1.932664e+002
1.859000e-001	-1.932077e+002
2.002000e-001	-1.931479e+002
2.145000e-001	-1.930871e+002
2.288000e-001	-1.930252e+002
2.431000e-001	-1.929623e+002
2.574000e-001	-1.928982e+002
2.717000e-001	-1.928329e+002
2.860000e-001	-1.927665e+002
3.003000e-001	-1.926989e+002
3.146000e-001	-1.926299e+002
3.289000e-001	-1.925597e+002
3.432000e-001	-1.924882e+002
3.575000e-001	-1.924152e+002
3.718000e-001	-1.923409e+002
3.861000e-001	-1.922650e+002
4.004000e-001	-1.921876e+002
4.147000e-001	-1.921087e+002
4.290000e-001	-1.920281e+002
4.433000e-001	-1.919457e+002
4.576000e-001	-1.918616e+002
4.719000e-001	-1.917757e+002
4.862000e-001	-1.916877e+002
5.005000e-001	-1.915978e+002
5.148000e-001	-1.915056e+002
5.291000e-001	-1.914111e+002
5.434000e-001	-1.913142e+002
5.577000e-001	-1.912145e+002
5.720000e-001	-1.911119e+002
5.863000e-001	-1.910061e+002
6.006000e-001	-1.908967e+002
6.149000e-001	-1.907833e+002
6.292000e-001	-1.906652e+002
6.435000e-001	-1.905417e+002
6.578000e-001	-1.904121e+002
6.721000e-001	-1.902749e+002
6.864000e-001	-1.901288e+002
7.007000e-001	-1.899718e+002
7.150000e-001	-1.898011e+002
7.293000e-001	-1.896135e+002
7.436000e-001	-1.894042e+002
7.579000e-001	-1.891670e+002
7.722000e-001	-1.888932e+002
7.865000e-001	-1.885712e+002
8.008000e-001	-1.881844e+002
8.151000e-001	-1.877097e+002
8.294000e-001	-1.871141e+002
8.437000e-001	-1.863501e+002
8.580000e-001	-1.853491e+002
8.723000e-001	-1.840099e+002
8.866000e-001	-1.821830e+002
9.009000e-001	-1.796455e+002
9.152000e-001	-1.760623e+002
9.295000e-001	-1.709275e+002
9.438000e-001	-1.634741e+002
9.581000e-001	-1.525380e+002
9.724000e-001	-1.363568e+002
9.867000e-001	-1.122803e+002
1.001000e+000	-7.637628e+001
1.015300e+000	-2.294356e+001
1.029600e+000	5.598873e+001
1.043900e+000	1.709924e+002
1.058200e+000	3.349411e+002
1.072500e+000	5.619766e+002
1.086800e+000	8.654754e+002
1.101100e+000	1.256100e+003
1.115400e+000	1.740252e+003
1.129700e+000	2.319401e+003
1.144000e+000	2.995102e+003
1.158300e+000	5.743430e+003
1.172600e+000	6.210236e+003
1.186900e+000	3.599291e+006
1.201200e+000	3.599632e+006
1.215500e+000	3.599642e+006
1.229800e+000	3.599652e+006
1.244100e+000	3.599662e+006
1.258400e+000	3.599673e+006
1.272700e+000	3.599684e+006
1.287000e+000	3.599694e+006
1.301300e+000	3.599705e+006
1.315600e+000	3.599717e+006
1.329900e+000	3.599728e+006
1.344200e+000	3.599740e+006
1.358500e+000	3.599752e+006
1.372800e+000	3.599764e+006
1.387100e+000	3.599777e+006
1.401400e+000	3.599789e+006
1.415700e+000	3.599803e+006
1.430000e+000	3.599816e+006

