#  Printing Reflectance, Absorptance by layers and Transmittance (input statement at line 58)
#  Simulation date:
#    Mon Jul 10 14:26:27 2023
# Reflectance, Absorptance by layers and Transmittance
# Wavelenght [m]	Reflectance, Absorptance for each layer, Transmittance [] 
#  lambda	Reflectance	Layer  0	Layer  1	Layer  2	Layer  3	Layer  4	Layer  5	Layer  6	Transmittance	Sum
1.040000e-006	9.692703e-001	0.000000e+000	2.553192e-002	4.017493e-004	0.000000e+000	0.000000e+000	3.755550e-004	4.420466e-003	8.826850e-013	1.000000e+000
1.045000e-006	9.670532e-001	0.000000e+000	2.777635e-002	3.975174e-004	0.000000e+000	0.000000e+000	3.770175e-004	4.395862e-003	8.683080e-013	1.000000e+000
1.050000e-006	9.647520e-001	0.000000e+000	3.009279e-002	3.927612e-004	0.000000e+000	0.000000e+000	3.794163e-004	4.383025e-003	8.565249e-013	1.000000e+000
1.055000e-006	9.624221e-001	0.000000e+000	3.242576e-002	3.878075e-004	0.000000e+000	0.000000e+000	3.828098e-004	4.381498e-003	8.471664e-013	9.999999e-001
1.060000e-006	9.600193e-001	0.000000e+000	3.482135e-002	3.823827e-004	0.000000e+000	0.000000e+000	3.870286e-004	4.389839e-003	8.398813e-013	9.999999e-001
1.065000e-006	9.575365e-001	0.000000e+000	3.728732e-002	3.766635e-004	0.000000e+000	0.000000e+000	3.921711e-004	4.407328e-003	8.344693e-013	9.999999e-001
1.070000e-006	9.549928e-001	0.000000e+000	3.980504e-002	3.704513e-004	0.000000e+000	0.000000e+000	3.980850e-004	4.433570e-003	8.307994e-013	9.999999e-001
1.075000e-006	9.524106e-001	0.000000e+000	4.235264e-002	3.638287e-004	0.000000e+000	0.000000e+000	4.048733e-004	4.467937e-003	8.287023e-013	9.999999e-001
1.080000e-006	9.497881e-001	0.000000e+000	4.493282e-002	3.566760e-004	0.000000e+000	0.000000e+000	4.123734e-004	4.509947e-003	8.280426e-013	9.999999e-001
1.085000e-006	9.470657e-001	0.000000e+000	4.755135e-002	3.492562e-004	0.000000e+000	0.000000e+000	4.205656e-004	4.613081e-003	8.274123e-013	9.999999e-001
1.090000e-006	9.443274e-001	0.000000e+000	5.017794e-002	3.412553e-004	0.000000e+000	0.000000e+000	4.293876e-004	4.723920e-003	8.279218e-013	9.999999e-001
1.095000e-006	9.413516e-001	0.000000e+000	5.286367e-002	3.326663e-004	0.000000e+000	0.000000e+000	4.388493e-004	5.013122e-003	8.257484e-013	9.999999e-001
1.100000e-006	9.383895e-001	0.000000e+000	5.552469e-002	3.234405e-004	0.000000e+000	0.000000e+000	4.488146e-004	5.313466e-003	8.243889e-013	9.999999e-001
1.105000e-006	9.354957e-001	0.000000e+000	5.810794e-002	3.140275e-004	0.000000e+000	0.000000e+000	4.592197e-004	5.622967e-003	8.234152e-013	9.999999e-001
1.110000e-006	9.326602e-001	0.000000e+000	6.062363e-002	3.039735e-004	0.000000e+000	0.000000e+000	4.699440e-004	5.942194e-003	8.228403e-013	9.999999e-001
1.115000e-006	9.299097e-001	0.000000e+000	6.304587e-002	2.932712e-004	0.000000e+000	0.000000e+000	4.809554e-004	6.270113e-003	8.224611e-013	9.999999e-001
1.120000e-006	9.272749e-001	0.000000e+000	6.534544e-002	2.819292e-004	0.000000e+000	0.000000e+000	4.920792e-004	6.605513e-003	8.220915e-013	9.999999e-001
1.125000e-006	9.247709e-001	0.000000e+000	6.750879e-002	2.702096e-004	0.000000e+000	0.000000e+000	5.034062e-004	6.946606e-003	8.215133e-013	9.999999e-001
1.130000e-006	9.224484e-001	0.000000e+000	6.948751e-002	2.578757e-004	0.000000e+000	0.000000e+000	5.145897e-004	7.291531e-003	8.205421e-013	9.999999e-001
1.135000e-006	9.202398e-001	0.000000e+000	7.135150e-002	2.449748e-004	0.000000e+000	0.000000e+000	5.255681e-004	7.638088e-003	8.189934e-013	9.999999e-001
1.140000e-006	9.182865e-001	0.000000e+000	7.296279e-002	2.315427e-004	0.000000e+000	0.000000e+000	5.360718e-004	7.983010e-003	8.166100e-013	9.999999e-001
1.145000e-006	9.167040e-001	0.000000e+000	7.420856e-002	2.178709e-004	0.000000e+000	0.000000e+000	5.460968e-004	8.323375e-003	8.132177e-013	9.999999e-001
1.150000e-006	9.154394e-001	0.000000e+000	7.514497e-002	2.038206e-004	0.000000e+000	0.000000e+000	5.553574e-004	8.656380e-003	8.086892e-013	9.999999e-001
1.155000e-006	9.144180e-001	0.000000e+000	7.585251e-002	1.897163e-004	0.000000e+000	0.000000e+000	5.636070e-004	8.976079e-003	8.026429e-013	9.999999e-001
1.160000e-006	9.137614e-001	0.000000e+000	7.621082e-002	1.754493e-004	0.000000e+000	0.000000e+000	5.707762e-004	9.281470e-003	7.951908e-013	9.999999e-001
1.165000e-006	9.134666e-001	0.000000e+000	7.622581e-002	1.611785e-004	0.000000e+000	0.000000e+000	5.769671e-004	9.569363e-003	7.862545e-013	9.999999e-001
1.170000e-006	9.135643e-001	0.000000e+000	7.586988e-002	1.469902e-004	0.000000e+000	0.000000e+000	5.818466e-004	9.836874e-003	7.757990e-013	9.999999e-001
1.175000e-006	9.140702e-001	0.000000e+000	7.512906e-002	1.331210e-004	0.000000e+000	0.000000e+000	5.854391e-004	1.008191e-002	7.638616e-013	9.999998e-001
1.180000e-006	9.149645e-001	0.000000e+000	7.402634e-002	1.195746e-004	0.000000e+000	0.000000e+000	5.875868e-004	1.030180e-002	7.504392e-013	9.999998e-001
1.185000e-006	9.162017e-001	0.000000e+000	7.260844e-002	1.064746e-004	0.000000e+000	0.000000e+000	5.884848e-004	1.049478e-002	7.355991e-013	9.999998e-001
1.190000e-006	9.177946e-001	0.000000e+000	7.086361e-002	9.393463e-005	0.000000e+000	0.000000e+000	5.879184e-004	1.065982e-002	7.194541e-013	9.999999e-001
1.195000e-006	9.197132e-001	0.000000e+000	6.882202e-002	8.215629e-005	0.000000e+000	0.000000e+000	5.860030e-004	1.079651e-002	7.021473e-013	9.999999e-001
1.200000e-006	9.219272e-001	0.000000e+000	6.651421e-002	7.109728e-005	0.000000e+000	0.000000e+000	5.827220e-004	1.090475e-002	6.838269e-013	1.000000e+000
1.205000e-006	9.249571e-001	0.000000e+000	6.353429e-002	6.201733e-005	0.000000e+000	0.000000e+000	5.778787e-004	1.086862e-002	7.634400e-013	9.999999e-001
1.210000e-006	9.281068e-001	0.000000e+000	6.045309e-002	5.351077e-005	0.000000e+000	0.000000e+000	5.721370e-004	1.081461e-002	8.501079e-013	1.000000e+000
1.215000e-006	9.313452e-001	0.000000e+000	5.730014e-002	4.562081e-005	0.000000e+000	0.000000e+000	5.655604e-004	1.074366e-002	9.442266e-013	1.000000e+000
1.220000e-006	9.346414e-001	0.000000e+000	5.410518e-002	3.838031e-005	0.000000e+000	0.000000e+000	5.582223e-004	1.065695e-002	1.046213e-012	1.000000e+000
1.225000e-006	9.379655e-001	0.000000e+000	5.089683e-002	3.181148e-005	0.000000e+000	0.000000e+000	5.502040e-004	1.055581e-002	1.156512e-012	1.000000e+000
1.230000e-006	9.412893e-001	0.000000e+000	4.770162e-002	2.592620e-005	0.000000e+000	0.000000e+000	5.415917e-004	1.044171e-002	1.275598e-012	1.000000e+000
1.235000e-006	9.445867e-001	0.000000e+000	4.454395e-002	2.072664e-005	0.000000e+000	0.000000e+000	5.324743e-004	1.031621e-002	1.403987e-012	1.000000e+000
1.240000e-006	9.478340e-001	0.000000e+000	4.144601e-002	1.620606e-005	0.000000e+000	0.000000e+000	5.229411e-004	1.018091e-002	1.542240e-012	1.000000e+000
1.245000e-006	9.510102e-001	0.000000e+000	3.842703e-002	1.235010e-005	0.000000e+000	0.000000e+000	5.130800e-004	1.003740e-002	1.690967e-012	1.000000e+000
1.250000e-006	9.540972e-001	0.000000e+000	3.550348e-002	9.137609e-006	0.000000e+000	0.000000e+000	5.029754e-004	9.887248e-003	1.850841e-012	1.000000e+000
1.255000e-006	9.570449e-001	0.000000e+000	3.272213e-002	6.573656e-006	0.000000e+000	0.000000e+000	4.927923e-004	9.733647e-003	2.022945e-012	1.000000e+000
1.260000e-006	9.598781e-001	0.000000e+000	3.005847e-002	4.580752e-006	0.000000e+000	0.000000e+000	4.825226e-004	9.576410e-003	2.207829e-012	1.000000e+000
1.265000e-006	9.625873e-001	0.000000e+000	2.752057e-002	3.126071e-006	0.000000e+000	0.000000e+000	4.722323e-004	9.416829e-003	2.406388e-012	1.000000e+000
1.270000e-006	9.651656e-001	0.000000e+000	2.511424e-002	2.174903e-006	0.000000e+000	0.000000e+000	4.619809e-004	9.256113e-003	2.619599e-012	1.000000e+000
1.275000e-006	9.676081e-001	0.000000e+000	2.284325e-002	1.691472e-006	0.000000e+000	0.000000e+000	4.518212e-004	9.095288e-003	2.848532e-012	1.000000e+000
1.280000e-006	9.699118e-001	0.000000e+000	2.070947e-002	1.639742e-006	0.000000e+000	0.000000e+000	4.417993e-004	8.935336e-003	3.094356e-012	1.000000e+000
1.285000e-006	9.720756e-001	0.000000e+000	1.871337e-002	1.984046e-006	0.000000e+000	0.000000e+000	4.319548e-004	8.777100e-003	3.358346e-012	1.000000e+000
1.290000e-006	9.740998e-001	0.000000e+000	1.685389e-002	2.689598e-006	0.000000e+000	0.000000e+000	4.223212e-004	8.621313e-003	3.641892e-012	1.000000e+000
1.295000e-006	9.759859e-001	0.000000e+000	1.512893e-002	3.722913e-006	0.000000e+000	0.000000e+000	4.129263e-004	8.468606e-003	3.946507e-012	1.000000e+000
1.300000e-006	9.777362e-001	0.000000e+000	1.353546e-002	5.052072e-006	0.000000e+000	0.000000e+000	4.037926e-004	8.319507e-003	4.273836e-012	1.000000e+000
1.305000e-006	9.793382e-001	0.000000e+000	1.208446e-002	6.625199e-006	0.000000e+000	0.000000e+000	3.949997e-004	8.175741e-003	4.626391e-012	1.000000e+000
1.310000e-006	9.808142e-001	0.000000e+000	1.075458e-002	8.429768e-006	0.000000e+000	0.000000e+000	3.864957e-004	8.036321e-003	5.005494e-012	1.000000e+000
1.315000e-006	9.821686e-001	0.000000e+000	9.541216e-003	1.044039e-005	0.000000e+000	0.000000e+000	3.782898e-004	7.901526e-003	5.413250e-012	1.000000e+000
1.320000e-006	9.834060e-001	0.000000e+000	8.439486e-003	1.263366e-005	0.000000e+000	0.000000e+000	3.703885e-004	7.771573e-003	5.851945e-012	1.000000e+000
1.325000e-006	9.845313e-001	0.000000e+000	7.444362e-003	1.498806e-005	0.000000e+000	0.000000e+000	3.627952e-004	7.646620e-003	6.324049e-012	1.000000e+000
1.330000e-006	9.855495e-001	0.000000e+000	6.550747e-003	1.748402e-005	0.000000e+000	0.000000e+000	3.555111e-004	7.526780e-003	6.832240e-012	1.000000e+000
1.335000e-006	9.864657e-001	0.000000e+000	5.753550e-003	2.010380e-005	0.000000e+000	0.000000e+000	3.485355e-004	7.412124e-003	7.379414e-012	1.000000e+000
1.340000e-006	9.872849e-001	0.000000e+000	5.047728e-003	2.283134e-005	0.000000e+000	0.000000e+000	3.418657e-004	7.302686e-003	7.968704e-012	1.000000e+000
1.345000e-006	9.880120e-001	0.000000e+000	4.428390e-003	2.565222e-005	0.000000e+000	0.000000e+000	3.354981e-004	7.198472e-003	8.603499e-012	1.000000e+000
1.350000e-006	9.886518e-001	0.000000e+000	3.890750e-003	2.855355e-005	0.000000e+000	0.000000e+000	3.294278e-004	7.099460e-003	9.287464e-012	1.000000e+000
1.355000e-006	9.892045e-001	0.000000e+000	3.434022e-003	3.148918e-005	0.000000e+000	0.000000e+000	3.236825e-004	7.006340e-003	1.002560e-011	1.000000e+000
1.360000e-006	9.896804e-001	0.000000e+000	3.048696e-003	3.448148e-005	0.000000e+000	0.000000e+000	3.182191e-004	6.918261e-003	1.082124e-011	1.000000e+000
1.365000e-006	9.900837e-001	0.000000e+000	2.730651e-003	3.752176e-005	0.000000e+000	0.000000e+000	3.130306e-004	6.835154e-003	1.167902e-011	1.000000e+000
1.370000e-006	9.904184e-001	0.000000e+000	2.475977e-003	4.060232e-005	0.000000e+000	0.000000e+000	3.081099e-004	6.756940e-003	1.260392e-011	1.000000e+000
1.375000e-006	9.906884e-001	0.000000e+000	2.280974e-003	4.371640e-005	0.000000e+000	0.000000e+000	3.034496e-004	6.683532e-003	1.360136e-011	1.000000e+000
1.380000e-006	9.908971e-001	0.000000e+000	2.142156e-003	4.685812e-005	0.000000e+000	0.000000e+000	2.990422e-004	6.614839e-003	1.467716e-011	1.000000e+000
1.385000e-006	9.910481e-001	0.000000e+000	2.056245e-003	5.002235e-005	0.000000e+000	0.000000e+000	2.948803e-004	6.550764e-003	1.583763e-011	1.000000e+000
1.390000e-006	9.911445e-001	0.000000e+000	2.020170e-003	5.320470e-005	0.000000e+000	0.000000e+000	2.909562e-004	6.491212e-003	1.708957e-011	1.000000e+000
1.395000e-006	9.911892e-001	0.000000e+000	2.031056e-003	5.640138e-005	0.000000e+000	0.000000e+000	2.872627e-004	6.436083e-003	1.844034e-011	1.000000e+000
1.400000e-006	9.911851e-001	0.000000e+000	2.086222e-003	5.960918e-005	0.000000e+000	0.000000e+000	2.837925e-004	6.385282e-003	1.989788e-011	1.000000e+000
1.405000e-006	9.911357e-001	0.000000e+000	2.181944e-003	6.279175e-005	0.000000e+000	0.000000e+000	2.805539e-004	6.339057e-003	2.147195e-011	1.000000e+000
1.410000e-006	9.910431e-001	0.000000e+000	2.316447e-003	6.597967e-005	0.000000e+000	0.000000e+000	2.775226e-004	6.296924e-003	2.317065e-011	1.000000e+000
1.415000e-006	9.909098e-001	0.000000e+000	2.487613e-003	6.917133e-005	0.000000e+000	0.000000e+000	2.746920e-004	6.258794e-003	2.500398e-011	1.000000e+000
1.420000e-006	9.907375e-001	0.000000e+000	2.693481e-003	7.236528e-005	0.000000e+000	0.000000e+000	2.720559e-004	6.224578e-003	2.698273e-011	1.000000e+000
1.425000e-006	9.905284e-001	0.000000e+000	2.932236e-003	7.556039e-005	0.000000e+000	0.000000e+000	2.696082e-004	6.194194e-003	2.911852e-011	1.000000e+000
1.430000e-006	9.902842e-001	0.000000e+000	3.202201e-003	7.875579e-005	0.000000e+000	0.000000e+000	2.673432e-004	6.167564e-003	3.142393e-011	1.000000e+000
1.435000e-006	9.900064e-001	0.000000e+000	3.501833e-003	8.195085e-005	0.000000e+000	0.000000e+000	2.652554e-004	6.144610e-003	3.391250e-011	1.000000e+000
1.440000e-006	9.896966e-001	0.000000e+000	3.829691e-003	8.514513e-005	0.000000e+000	0.000000e+000	2.633396e-004	6.125262e-003	3.659888e-011	1.000000e+000
1.445000e-006	9.893562e-001	0.000000e+000	4.184469e-003	8.833838e-005	0.000000e+000	0.000000e+000	2.615907e-004	6.109453e-003	3.949885e-011	1.000000e+000
1.450000e-006	9.889864e-001	0.000000e+000	4.564959e-003	9.153074e-005	0.000000e+000	0.000000e+000	2.600041e-004	6.097119e-003	4.262945e-011	1.000000e+000
1.455000e-006	9.885918e-001	0.000000e+000	4.966649e-003	9.469181e-005	0.000000e+000	0.000000e+000	2.585800e-004	6.088315e-003	4.600990e-011	1.000000e+000
1.460000e-006	9.881705e-001	0.000000e+000	5.391533e-003	9.785171e-005	0.000000e+000	0.000000e+000	2.573082e-004	6.082841e-003	4.965906e-011	1.000000e+000
1.465000e-006	9.877235e-001	0.000000e+000	5.838698e-003	1.010107e-004	0.000000e+000	0.000000e+000	2.561846e-004	6.080648e-003	5.359828e-011	1.000000e+000
1.470000e-006	9.872516e-001	0.000000e+000	6.307309e-003	1.041691e-004	0.000000e+000	0.000000e+000	2.552057e-004	6.081691e-003	5.785057e-011	1.000000e+000
1.475000e-006	9.867558e-001	0.000000e+000	6.796604e-003	1.073276e-004	0.000000e+000	0.000000e+000	2.543679e-004	6.085927e-003	6.244076e-011	1.000000e+000
1.480000e-006	9.862367e-001	0.000000e+000	7.305890e-003	1.104861e-004	0.000000e+000	0.000000e+000	2.536681e-004	6.093321e-003	6.739559e-011	1.000000e+000
1.485000e-006	9.856949e-001	0.000000e+000	7.834555e-003	1.136453e-004	0.000000e+000	0.000000e+000	2.531032e-004	6.103837e-003	7.274392e-011	1.000000e+000
1.490000e-006	9.851311e-001	0.000000e+000	8.381987e-003	1.168062e-004	0.000000e+000	0.000000e+000	2.526703e-004	6.117447e-003	7.851681e-011	1.000000e+000
1.495000e-006	9.845459e-001	0.000000e+000	8.947687e-003	1.199688e-004	0.000000e+000	0.000000e+000	2.523669e-004	6.134123e-003	8.474777e-011	1.000000e+000
1.500000e-006	9.839397e-001	0.000000e+000	9.531184e-003	1.231342e-004	0.000000e+000	0.000000e+000	2.521905e-004	6.153843e-003	9.147287e-011	1.000000e+000

