#  Printing Reflectance, Absorptance by layers and Transmittance (input statement at line 58)
#  Simulation date:
#    Mon Jul 10 14:26:27 2023
# Reflectance, Absorptance by layers and Transmittance
# Wavelenght [m]	Reflectance, Absorptance for each layer, Transmittance [] 
#  lambda	Reflectance	Layer  0	Layer  1	Layer  2	Layer  3	Layer  4	Layer  5	Layer  6	Transmittance	Sum
4.700000e-007	8.958112e-002	0.000000e+000	2.602538e-003	1.501816e-002	8.927864e-001	1.022446e-005	4.059728e-008	2.904824e-006	2.363630e-014	1.000001e+000
4.750000e-007	8.784237e-002	0.000000e+000	2.646492e-003	1.510826e-002	8.943853e-001	1.437456e-005	6.230039e-008	4.391462e-006	3.133525e-014	1.000001e+000
4.800000e-007	8.604130e-002	0.000000e+000	2.690813e-003	1.518992e-002	8.960516e-001	2.066124e-005	9.803083e-008	6.813794e-006	4.274522e-014	1.000001e+000
4.850000e-007	8.402697e-002	0.000000e+000	2.773268e-003	1.529394e-002	8.978659e-001	3.018022e-005	1.565214e-007	1.064147e-005	5.961975e-014	1.000001e+000
4.900000e-007	8.213149e-002	0.000000e+000	2.854673e-003	1.539389e-002	8.995600e-001	4.395536e-005	2.499002e-007	1.663524e-005	8.342149e-014	1.000001e+000
4.950000e-007	8.018738e-002	0.000000e+000	2.934936e-003	1.520415e-002	9.015851e-001	6.309604e-005	3.955272e-007	2.575033e-005	1.156548e-013	1.000001e+000
5.000000e-007	7.833987e-002	0.000000e+000	3.013070e-003	1.502642e-002	9.034952e-001	8.843865e-005	6.137404e-007	3.911690e-005	1.576908e-013	1.000003e+000
5.050000e-007	7.642758e-002	0.000000e+000	3.096496e-003	1.442516e-002	9.058740e-001	1.202580e-004	9.280686e-007	5.795364e-005	2.096672e-013	1.000002e+000
5.100000e-007	7.444533e-002	0.000000e+000	3.175944e-003	1.386716e-002	9.082710e-001	1.578506e-004	1.362341e-006	8.342238e-005	2.714164e-013	1.000002e+000
5.150000e-007	7.243168e-002	0.000000e+000	3.250309e-003	1.296126e-002	9.110381e-001	2.019646e-004	1.941574e-006	1.164715e-004	3.414661e-013	1.000002e+000
5.200000e-007	7.063869e-002	0.000000e+000	3.320460e-003	1.211968e-002	9.135135e-001	2.488111e-004	2.680044e-006	1.576339e-004	4.172520e-013	1.000001e+000
5.250000e-007	6.958750e-002	0.000000e+000	3.388692e-003	1.109486e-002	9.154120e-001	3.012619e-004	3.587009e-006	2.134498e-004	4.909851e-013	1.000001e+000
